StartTime,green_energy_HU,HU_Load,green_energy_IT,IT_Load,green_energy_PO,PO_Load,green_energy_SP,SP_Load,green_energy_UK,UK_Load,green_energy_DE,DE_Load,green_energy_DK,DK_Load,green_energy_SE,SE_Load,green_energy_NE,NE_Load
2021-12-31 23:00:00+00:00,3151,4254,15517.0,21121.0,14088.0,14438.0,22495,20827,0.0,677.0,50115,42196,4404.0,3314.0,18167.0,15331.0,10948,10326
2022-01-01 00:00:00+00:00,12917,16457,14771.0,19756.0,13984.0,13935.0,21745,19530,0.0,1244.0,197190,165125,4354.0,3218.0,18219.0,15331.0,42190,40706
2022-01-01 01:00:00+00:00,13043,15426,14237.0,18685.0,14037.0,13579.0,22097,18383,0.0,1131.0,190137,160415,4061.0,3126.0,18152.0,15270.0,39853,39465
2022-01-01 02:00:00+00:00,13059,14781,13726.0,18124.0,13946.0,13397.0,22180,17680,0.0,1091.0,184459,158035,3795.0,3080.0,17626.0,15150.0,37501,38923
2022-01-01 03:00:00+00:00,12788,14630,13548.0,18400.0,13931.0,13364.0,22057,17396,0.0,969.0,178995,157016,3605.0,3044.0,17910.0,15387.0,36713,38211
2022-01-01 04:00:00+00:00,12796,14688,13520.0,19223.0,13817.0,13449.0,21892,17544,0.0,896.0,172302,154552,3483.0,3130.0,18025.0,15737.0,35806,38146
2022-01-01 05:00:00+00:00,12735,14960,13689.0,19738.0,13759.0,13444.0,22154,17866,0.0,871.0,172530,154275,3339.0,3238.0,18371.0,16054.0,34714,38956
2022-01-01 06:00:00+00:00,12617,15034,14176.0,20289.0,13707.0,13527.0,22200,17806,0.0,860.0,169234,157356,3156.0,3378.0,19066.0,16455.0,34688,39968
2022-01-01 07:00:00+00:00,12960,15259,15202.0,21469.0,14148.0,14202.0,24283,18533,0.0,922.0,165510,163000,2815.0,3537.0,19094.0,16943.0,34758,40808
2022-01-01 08:00:00+00:00,14346,15551,16551.0,22735.0,14196.0,14851.0,26794,20018,0.0,1017.0,170187,171858,2689.0,3714.0,19043.0,17476.0,36516,41742
2022-01-01 09:00:00+00:00,14618,16045,18179.0,23636.0,14739.0,15643.0,28184,20989,0.0,1095.0,173358,179829,2643.0,3818.0,18850.0,17657.0,39300,42796
2022-01-01 10:00:00+00:00,15078,16500,18832.0,24182.0,15721.0,16235.0,28101,21514,0.0,1232.0,176491,188335,3065.0,3893.0,18748.0,17521.0,42652,42494
2022-01-01 11:00:00+00:00,15261,16966,18464.0,23270.0,15984.0,16712.0,27945,22105,0.0,1351.0,178558,188528,3158.0,3943.0,18787.0,17542.0,45361,42294
2022-01-01 12:00:00+00:00,14733,17195,17299.0,22755.0,15898.0,16874.0,27736,22384,0.0,1508.0,171117,184922,3385.0,3915.0,18974.0,17783.0,46268,43153
2022-01-01 13:00:00+00:00,13770,17488,16275.0,22881.0,16042.0,17032.0,27259,21106,0.0,1653.0,169516,182733,3832.0,3988.0,19456.0,18417.0,46110,44379
2022-01-01 14:00:00+00:00,12993,18052,17151.0,23818.0,16160.0,17715.0,25829,20617,0.0,1682.0,169218,183467,4703.0,4213.0,20036.0,18620.0,46142,45865
2022-01-01 15:00:00+00:00,12882,19157,20477.0,26742.0,16086.0,17887.0,22872,21096,0.0,1671.0,181423,195571,5463.0,4473.0,20501.0,18778.0,49111,48406
2022-01-01 16:00:00+00:00,12805,19169,21277.0,27672.0,15563.0,17929.0,22543,23211,0.0,1741.0,194255,207259,6076.0,4407.0,20858.0,18621.0,52267,52021
2022-01-01 17:00:00+00:00,12508,19117,21885.0,28393.0,15379.0,17898.0,23408,24435,0.0,1977.0,203868,208694,6431.0,4133.0,21157.0,17942.0,52556,51429
2022-01-01 18:00:00+00:00,12374,19077,21256.0,27996.0,15214.0,17594.0,23712,24964,0.0,2083.0,205099,203720,6503.0,3970.0,21609.0,17481.0,51102,49999
2022-01-01 19:00:00+00:00,12446,18695,20103.0,26693.0,14941.0,16972.0,24005,25189,0.0,1925.0,197957,196041,6368.0,3821.0,22004.0,17048.0,47089,47940
2022-01-01 20:00:00+00:00,12006,18142,18011.0,24635.0,14404.0,16426.0,23303,24134,0.0,1801.0,195159,191635,6049.0,3619.0,22035.0,16461.0,43165,46052
2022-01-01 21:00:00+00:00,12114,17310,15867.0,22404.0,13377.0,15411.0,22724,22552,0.0,1691.0,193815,187527,5684.0,3462.0,21886.0,16048.0,42915,44113
2022-01-01 22:00:00+00:00,12120,16380,13888.0,20428.0,13259.0,14480.0,21974,21048,0.0,1534.0,185667,176366,4957.0,3351.0,20972.0,15924.0,42918,42275
2022-01-01 23:00:00+00:00,11518,15480,13338.0,18989.0,12797.0,13833.0,21739,19473,0.0,1385.0,180325,170078,4798.0,3173.0,20417.0,15328.0,40873,41053
2022-01-02 00:00:00+00:00,11420,14901,13940.0,18083.0,12757.0,13451.0,21370,18375,0.0,626.0,178747,164923,4767.0,3128.0,20186.0,15037.0,41733,39562
2022-01-02 01:00:00+00:00,11456,14342,14289.0,17740.0,13032.0,13267.0,21468,17841,0.0,0.0,176343,162519,4529.0,3093.0,19225.0,14770.0,41631,38687
2022-01-02 02:00:00+00:00,11347,14142,14685.0,17737.0,13256.0,13326.0,21359,17539,0.0,525.0,177100,162753,4628.0,3063.0,18735.0,14706.0,41540,38236
2022-01-02 03:00:00+00:00,11514,14436,13552.0,18409.0,13626.0,13714.0,21109,17684,0.0,1008.0,173989,163004,4624.0,3149.0,18502.0,14752.0,42093,38283
2022-01-02 04:00:00+00:00,11567,15008,14102.0,19869.0,13982.0,14230.0,21039,18353,0.0,971.0,174844,162453,4516.0,3260.0,18485.0,15202.0,42550,38979
2022-01-02 05:00:00+00:00,11706,16122,14551.0,21148.0,14059.0,14542.0,21436,19223,0.0,942.0,177435,162596,4478.0,3455.0,19304.0,15916.0,42647,40264
2022-01-02 06:00:00+00:00,11927,16881,15459.0,22332.0,14154.0,14960.0,21747,19936,0.0,948.0,187240,171915,4509.0,3722.0,19704.0,16545.0,44232,42237
2022-01-02 07:00:00+00:00,12676,17859,17001.0,23775.0,14788.0,15855.0,23432,21531,0.0,1010.0,198657,185202,4401.0,3905.0,20590.0,16960.0,45760,44702
2022-01-02 08:00:00+00:00,13899,18359,18708.0,24697.0,15523.0,16709.0,25758,23286,0.0,1119.0,209679,195494,4271.0,4097.0,20785.0,17299.0,48389,46562
2022-01-02 09:00:00+00:00,13993,18526,19997.0,25360.0,15788.0,17032.0,26825,24126,0.0,1241.0,223431,205032,3914.0,4167.0,20677.0,17428.0,49439,46441
2022-01-02 10:00:00+00:00,14472,18846,20801.0,26123.0,16368.0,17414.0,27255,24202,0.0,1420.0,235463,216802,3567.0,4198.0,20642.0,17553.0,51117,47998
2022-01-02 11:00:00+00:00,14116,18756,20716.0,25308.0,16641.0,18006.0,27581,24673,0.0,1562.0,241366,217096,3124.0,4212.0,20487.0,17792.0,52556,48585
2022-01-02 12:00:00+00:00,13413,18838,18899.0,24751.0,16537.0,17914.0,27619,24921,0.0,1678.0,240411,212695,3252.0,4191.0,20458.0,17912.0,51873,47660
2022-01-02 13:00:00+00:00,12632,19191,18304.0,24918.0,16570.0,18024.0,26720,23869,0.0,1770.0,238825,210911,3605.0,4301.0,20407.0,18077.0,49363,47919
2022-01-02 14:00:00+00:00,12390,19941,18698.0,26049.0,17319.0,18627.0,25337,23258,0.0,1747.0,238706,214431,4166.0,4521.0,20313.0,18265.0,48115,48988
2022-01-02 15:00:00+00:00,12739,21433,22114.0,28970.0,17985.0,18737.0,24167,23642,0.0,1719.0,243808,225625,4835.0,4873.0,20317.0,18541.0,48327,51783
2022-01-02 16:00:00+00:00,12675,21539,23317.0,30088.0,17805.0,18753.0,24608,25965,0.0,1803.0,249285,235222,5223.0,4735.0,20131.0,18424.0,51044,55587
2022-01-02 17:00:00+00:00,12621,21399,23720.0,30781.0,17854.0,18774.0,26143,27307,0.0,2088.0,252093,234292,5700.0,4433.0,19875.0,18010.0,51848,54121
2022-01-02 18:00:00+00:00,12835,21157,22733.0,29662.0,17525.0,18378.0,26564,28243,0.0,2184.0,247108,227205,5769.0,4183.0,19646.0,17305.0,48694,52577
2022-01-02 19:00:00+00:00,12848,20457,20255.0,27563.0,16849.0,17527.0,26067,28062,0.0,1973.0,243756,216385,5631.0,3974.0,18868.0,16546.0,47509,50705
2022-01-02 20:00:00+00:00,12530,19465,17975.0,25326.0,16254.0,16897.0,25361,26650,0.0,1794.0,234064,208694,5249.0,3769.0,18830.0,16269.0,46866,48614
2022-01-02 21:00:00+00:00,12524,18475,16248.0,22897.0,15511.0,15711.0,24197,24535,0.0,1655.0,226314,200590,4794.0,3559.0,17192.0,15506.0,46840,46842
2022-01-02 22:00:00+00:00,12270,17309,16010.0,20859.0,15394.0,14918.0,21365,22800,0.0,1501.0,219731,188411,4468.0,3394.0,15980.0,15319.0,47318,44466
2022-01-02 23:00:00+00:00,12499,16340,15862.0,19413.0,15356.0,14446.0,21062,21173,0.0,1322.0,214681,179879,4283.0,3345.0,15873.0,15049.0,47052,42800
2022-01-03 00:00:00+00:00,12491,15728,15687.0,18841.0,15067.0,14223.0,21272,20153,0.0,1129.0,207169,173128,4125.0,3308.0,15713.0,14808.0,45406,41392
2022-01-03 01:00:00+00:00,12757,15247,15408.0,18543.0,14978.0,14320.0,21703,19679,0.0,1012.0,201163,170685,4093.0,3285.0,15717.0,14886.0,45123,40806
2022-01-03 02:00:00+00:00,12313,15225,15876.0,19052.0,15186.0,14814.0,22141,19754,0.0,980.0,201334,173478,4484.0,3361.0,16230.0,15344.0,44325,40492
2022-01-03 03:00:00+00:00,12452,16018,16286.0,20705.0,15692.0,15727.0,21975,20516,0.0,926.0,211528,181772,5110.0,3584.0,16670.0,15734.0,44728,40988
2022-01-03 04:00:00+00:00,12844,18135,18488.0,24670.0,17570.0,18749.0,22728,22969,0.0,911.0,235557,199216,5664.0,4201.0,18737.0,17213.0,45335,43740
2022-01-03 05:00:00+00:00,13431,21080,21930.0,28930.0,19650.0,20921.0,23925,26155,0.0,930.0,260557,228635,5917.0,4772.0,20676.0,18764.0,46371,47804
2022-01-03 06:00:00+00:00,14155,22265,25669.0,32665.0,20842.0,22135.0,24700,28546,0.0,990.0,273154,250878,6107.0,5079.0,21006.0,19396.0,48653,52778
2022-01-03 07:00:00+00:00,14758,22989,28046.0,35378.0,21287.0,22929.0,26955,30212,0.0,1170.0,284131,261928,6799.0,5072.0,21005.0,19451.0,50239,57029
2022-01-03 08:00:00+00:00,15105,23502,28081.0,35696.0,20850.0,22935.0,29704,31106,0.0,1341.0,293008,267001,6970.0,5190.0,21041.0,19620.0,51039,58111
2022-01-03 09:00:00+00:00,15564,23775,28307.0,35706.0,21273.0,23366.0,31039,30788,0.0,1489.0,298796,272754,7166.0,5246.0,21379.0,19916.0,52823,56875
2022-01-03 10:00:00+00:00,15431,23804,28049.0,34695.0,21975.0,23608.0,31672,30499,0.0,1670.0,304313,279273,7263.0,5134.0,21417.0,20005.0,55291,55464
2022-01-03 11:00:00+00:00,15503,23651,27426.0,34343.0,22039.0,23666.0,32379,30485,0.0,1781.0,303684,280238,7304.0,5078.0,21661.0,20204.0,56773,55854
2022-01-03 12:00:00+00:00,15154,22992,27076.0,34803.0,21945.0,23374.0,32230,30083,0.0,1857.0,296527,275534,7238.0,5043.0,21794.0,20225.0,56765,56252
2022-01-03 13:00:00+00:00,14896,23119,26620.0,35188.0,22010.0,23417.0,31922,29167,0.0,1969.0,289293,272737,7439.0,5021.0,22087.0,20687.0,55122,57466
